54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
54952,0,203386,0,85000,0
55467,-250,202241,-4914,86030,-5195
55734,-506,200284,-9499,87276,-10021
55931,-579,197646,-44573,88610,-45137
56119,-657,195383,-111027,88637,-111626
56232,-710,192904,-148798,87543,-149412
56241,-759,190602,-152047,85935,-152655
56285,-1011,188815,-155842,84766,-156704
56294,-1323,187493,-159753,83974,-160996
56324,-1479,186473,-159348,83221,-160809
56402,-1669,185809,-159079,82705,-160825
56492,-1817,185298,-158586,82282,-160674
57128,-1312,184252,-158334,81309,-160522
57810,-571,184033,-157336,80874,-158996
58453,-416,184884,-157893,81049,-159438
59098,-271,185631,-158514,81437,-159924
59569,-398,187307,-157138,81973,-158627
60239,-722,188454,-156888,82219,-158603
60764,-866,189334,-155890,82272,-157703
61553,-1053,191469,-155157,82611,-157082
62676,-1132,194322,-154035,83113,-155894
64093,-1093,198104,-151603,83632,-153239
66123,-1385,203483,-148946,84572,-150558
68222,-1615,207083,-146545,85174,-148219
69864,-1489,210260,-148678,85243,-149997
72322,-1195,213937,-149610,85211,-150540
74751,-1093,217318,-151663,85381,-152393
77442,-1217,220231,-153373,85243,-154109
80462,-1277,223074,-156046,85058,-156766
83449,-1166,225569,-158238,84816,-158855
86086,-1305,227192,-161900,84506,-162617
88816,-1086,229287,-164976,84229,-165197
91116,-1023,231398,-166528,84225,-167116
94060,-1112,233445,-170300,84069,-171001
97136,-869,236283,-171799,84049,-172415
100459,-718,238958,-173408,83932,-174005
103990,-595,241761,-175156,83896,-175761
107546,-237,244732,-176608,83967,-177094
111151,237,247847,-175336,84049,-175622
115128,765,251130,-173375,84135,-173439
122443,1650,258004,-166149,84534,-165832
130384,3101,263350,-162354,84485,-161402
135455,4065,266771,-160049,84612,-158684
140638,5104,269968,-157435,84594,-155607
147552,5986,273081,-161344,84616,-159178
154479,7319,278001,-155321,84983,-152599
163044,8982,280982,-154634,84722,-151221
172034,10847,285763,-150861,84724,-146656
180260,12549,288065,-151247,84405,-150998
188631,13948,289715,-153466,84224,-147971
199024,15946,291074,-153921,83944,-147645
207406,17331,293024,-155535,84113,-148801
215386,18338,294995,-156058,83867,-148898
223300,19200,295479,-159142,83568,-151724
230903,20397,296142,-160696,83286,-152963
237976,21267,297348,-161811,83390,-153804
244305,22108,298264,-162962,83538,-154672
249814,22711,298329,-164803,83496,-156347
254428,22623,297252,-167689,83118,-159267
258079,22422,295593,-169721,82656,-161316
260924,22026,293621,-170153,82142,-161783
262885,21134,290525,-170642,81469,-162442
263986,21107,288571,-171361,80984,-163187
262705,20494,284436,-173136,79974,-165139
261199,20040,279590,-174157,78444,-166366
260138,19386,276208,-175099,77325,-167568
258902,18616,273855,-176590,76602,-169359
258218,17946,272160,-178046,75403,-171238
256655,17089,269973,-178625,73743,-172308
256311,16630,268605,-179570,72858,-173565
255320,15947,266853,179410,71455,-175034
252661,14957,262325,178751,68958,-176290
251623,14200,259666,178966,67096,-176527
250319,13638,258743,178841,66018,-177004
249245,13076,257355,179162,64838,-177003
248583,12896,255908,179530,63513,-176913
245497,11914,251183,179587,59651,-177883
244519,11291,249614,179869,58176,-177993
243049,11128,248362,179686,56852,-178474
241487,10611,246730,179664,55292,-178861
240258,10773,245504,179285,53785,-179503
238707,10716,244489,179136,52091,180000
237290,10257,242897,179089,50479,179563
235717,9758,241221,179237,48793,179323
234102,9314,239634,179273,47115,178964
232614,9265,238444,179498,45531,178928
231145,8847,237273,179675,44050,178766
229797,8562,236314,179642,42698,178410
228187,8595,235170,179898,41201,178447
226622,8595,233580,-179854,39462,178429
225919,8188,232382,-179643,37833,178269
224986,8504,231937,-179748,36530,177909
223921,8178,231380,-179506,35385,177885
222880,8131,231036,-179640,34424,177528
221564,8106,230441,-179798,33309,177127
220145,8074,229531,-179901,32250,176811
218546,8072,228192,180000,31210,176510
216980,8001,227530,179956,30551,176352
215449,7801,226700,-179902,29875,176354
214139,7604,225892,-179745,29120,176355
213202,7529,225839,-179726,28674,176271
212210,7357,225313,-179643,27975,176131
211041,7646,224723,-179516,27170,176161
210135,7804,223938,-179283,25992,176124
210470,8231,224142,-179324,25043,175964
210985,8587,224624,-179602,24365,175570
210366,8786,224090,-179753,23474,175273
209656,8938,223838,-179854,22584,175017
208679,9042,223568,-179935,21874,174814
208358,9280,223746,179848,21542,174542
207886,9495,223555,179667,21210,174335
207636,9758,223451,179440,21023,174119
207624,10020,223439,179208,20995,173926
207582,10435,223413,178885,20935,173742
207553,10719,223397,178677,20895,173654
207504,11070,223360,178212,20797,173521
207471,11445,223344,178114,20761,173910
207445,11742,223334,177996,20731,174098
207418,12065,223323,177763,20690,174007
207439,11698,223323,177800,20694,174012
207424,11911,223320,177757,20684,174108
207414,12035,223317,177681,20670,174113
207414,12035,223317,177740,20676,174281
207414,12035,223317,177740,20676,174281
207414,12035,223317,177740,20676,174281
207414,12035,223317,177740,20676,174281
207414,12035,223317,177696,20672,174155
207414,12035,223317,177696,20672,174155
