55890,1532,186746,-114861,82874,-112568
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186746,-114768,82849,-112475
55890,1532,186751,-114768,82849,-112475
55891,1535,186771,-114768,82849,-112475
55892,1537,186792,-114768,82849,-112475
55894,1543,186832,-114768,82849,-112475
55895,1548,186872,-114768,82849,-112475
55899,1559,186960,-114768,82849,-112475
55905,1579,187115,-114768,82849,-112475
55914,1616,187409,-114768,82849,-112475
55925,1667,187809,-114768,82849,-112475
55934,1733,188333,-114515,82864,-112219
55942,1809,188928,-113829,82902,-111527
55949,1888,189558,-113829,82902,-111527
55955,1968,190185,-112906,82952,-110595
55952,2036,190812,-113673,83169,-111367
55921,2095,191608,-112073,83398,-109928
55851,2137,192580,-109360,83880,-106911
55749,2166,193686,-101453,84262,-99040
55619,2176,194833,-94851,84422,-92386
55455,2166,196075,-86648,84497,-84186
55266,2135,197320,-81662,84528,-79099
55058,2090,198605,-78332,84529,-75744
54827,2035,199967,-78215,84674,-75627
54557,1969,201490,-80490,84852,-77937
54243,1899,203260,-80860,84948,-78361
53919,1832,205039,-80035,84941,-77592
53587,1766,206802,-77090,84951,-74673
53212,1693,208708,-73521,84961,-71116
52770,1611,210842,-71452,84939,-70182
52296,1529,213040,-70867,84929,-67749
51782,1445,215394,-69856,84924,-67539
51222,1357,217891,-68709,84890,-66414
50611,1263,220535,-68401,84920,-67152
49970,1169,223258,-66947,85120,-64766
49275,1070,226053,-65641,85214,-63501
48505,959,229022,-62867,85373,-60766
47705,846,232010,-56873,85475,-56257
46925,736,234746,-52005,85250,-50006
46181,632,237323,-48964,85098,-47001
45444,527,239795,-44762,84904,-42824
44720,419,242120,-42658,84721,-40760
43972,305,244702,-40877,84648,-39924
43002,155,247263,-39901,84466,-38103
41960,-5,250225,-38679,84353,-36959
40829,-177,253441,-37693,84266,-36060
39812,-330,256684,-36870,84182,-35289
38533,-532,259897,-35928,84153,-35032
37260,-740,263654,-34689,83902,-33159
36090,-1005,267245,-34094,83829,-32599
34976,-1262,271259,-34093,83918,-33119
34106,-1531,275583,-32076,83918,-33119
33397,-1781,279577,-32188,83321,-30428
33022,-1996,283566,-31563,83241,-29608
32953,-2182,286917,-29827,83158,-28875
33309,-2337,290082,-29954,83453,-30101
33664,-2492,293136,-31697,83665,-30986
34860,-2566,296747,-36716,83891,-33323
36486,-2613,300042,-38438,84398,-39283
38353,-2584,303254,-45898,84398,-39283
40688,-2530,306723,-57774,85375,-57655
43240,-2433,309744,-59009,85451,-58784
46154,-2317,313551,-62745,85345,-62695
49277,-2181,317111,-62745,85431,-69005
52773,-2032,321342,-74128,85431,-69005
56039,-1886,325711,-78140,85431,-69005
60034,-1702,329813,-91504,85469,-84886
63923,-1505,333897,-97797,85469,-84886
67810,-1292,337947,-97797,84997,-105569
71694,-1068,341997,-110421,84821,-107654
75173,-868,345207,-110421,84661,-111960
78244,-689,348418,-123665,84192,-120532
80883,-533,351782,-123665,83528,-128759
84852,-273,355481,-132930,82964,-133922
88762,29,358841,-138150,82782,-136436
92672,331,361879,-138150,82472,-140586
96454,821,365495,-145820,82340,-142758
100344,1604,368589,-150721,81953,-150428
104427,2800,371398,-150721,81953,-150428
108296,4035,375009,-150721,80972,-155105
112626,5792,379416,-150721,80972,-155105
117534,8205,384087,-160474,80418,-158369
122801,11024,387838,-162622,79937,-160254
126827,14120,391447,-164197,79146,-164253
130571,17372,394847,-164986,78795,-164223
134694,21049,398023,-165766,78639,-163861
138287,24577,400568,-166617,78639,-163861
142048,28639,402669,-166617,77809,-163619
145700,32798,404452,-167391,77259,-161280
149613,37330,405196,-167798,77052,-159743
153172,41567,404991,-167830,77012,-158621
156379,45431,404372,-167232,76691,-156862
159519,49262,403225,-166732,76691,-156862
162608,53064,401610,-166660,76691,-156862
165778,57020,399588,-166660,75862,-153794
168855,60928,397308,-167586,75006,-153408
172146,65130,394822,-168345,74192,-153332
175044,68848,392291,-171704,72834,-155248
177736,72399,389831,-173862,71972,-156540
180356,75852,387457,-174892,71513,-157137
183004,79346,385237,-175795,70904,-157595
185719,83003,383200,-176596,70070,-157673
188315,86613,381619,-177046,69241,-157521
190868,90387,380481,-178127,68413,-158017
193441,94399,379872,-179179,67806,-158515
195965,98454,379687,179791,67226,-159048
198371,102446,379875,178857,66604,-159480
200733,106471,380511,178450,65857,-159408
203055,110553,381506,178411,65304,-159047
205296,114660,382679,178437,65017,-158775
207579,119067,383835,178717,64821,-158122
209735,123538,384904,179380,64830,-156920
211842,128094,385756,180000,64750,-155599
